track_id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
4I4LQkTBE26JJpGsjsIHtX,,,,,189500,32,0.729,0.0119,0.569,0.0019,0.0882,-11.673,0.0565,137.932,4,1
57wEDajjYl5o4yEO1udmP4,,,,,167500,27,0.89,0.441,0.601,0.000351,0.113,-9.037,0.195,108.034,4,1
0qgsLZisygl2CU7AkCcW5f,,,,,283006,24,0.612,0.792,0.285,0.0,0.166,-9.325,0.0279,134.898,3,1
3xSttVT3OyJ5hS5adB4eOK,,,,,231064,15,0.884,0.49,0.39,0.0,0.0726,-8.359,0.265,92.875,4,1
50GjPVrkJ3k6NSc1ix74dD,,,,,167000,33,0.675,0.206,0.729,0.000132,0.217,-9.429,0.133,122.079,4,1
2gVR6lBVzeEwVE51YwtJi6,,,,,155165,15,0.633,0.85,0.281,0.0,0.0993,-9.803,0.0315,134.806,3,1
2zJH0CwysriKClytXzcmuB,,,,,165551,27,0.621,0.59,0.499,0.0,0.548,-7.903,0.0737,119.768,4,1
5pMvfbeXAf0KViaJpgO6EF,,,,,295671,13,0.619,0.34,0.537,0.0,0.109,-9.017,0.0664,125.349,4,1
4ewe55AoVtNZQZMihVmp9u,,,,,291500,51,0.492,0.795,0.212,4.08e-05,0.123,-14.692,0.0374,171.996,3,1
2m89IdT7sJdSky0Fymg7r2,,,,,102500,34,0.602,0.269,0.579,0.506,0.306,-10.788,0.03,103.956,5,1
2ptZ5FOsn59LUCPfYlOoeA,,,,,266500,37,0.661,0.475,0.491,6.74e-05,0.0861,-11.004,0.062,170.036,5,1
6WwlMFThnO5u9ZDIfG2tGA,,,,,847840,11,0.455,0.981,0.44,0.0,0.672,-7.508,0.0431,109.296,3,1
2C5KGxHkq4ePV51ES40dxO,,,,,251714,42,0.806,0.346,0.72,0.00159,0.0369,-6.516,0.0534,94.975,4,1
7dnhO67Hcn0tGsQTvc3UhP,,,,,178709,17,0.728,0.242,0.596,0.0,0.17,-6.95,0.058,101.04,4,1
0II8bNccmnWMTkc0LHuROD,,,,,265168,52,0.558,0.0953,0.483,0.0,0.213,-10.749,0.086,87.884,4,1
0vF33Ekf7hkD8UdniPKDJZ,,,,,243000,27,0.727,0.538,0.779,0.000456,0.0465,-6.873,0.181,154.06,4,1
2FT2ocLRif4dYUyCOaTu5H,,,,,295992,34,0.638,0.463,0.691,0.0,0.344,-6.5,0.0417,137.966,4,1
2LbgPaY9SemcqFwxhLoiiq,,,,,244000,34,0.747,0.665,0.959,0.00274,0.131,-5.422,0.286,82.506,4,1
4jYX71osH1K8LA6r3Z7R2d,,,,,408000,50,0.587,0.574,0.411,1.79e-05,0.121,-8.245,0.0336,133.066,4,1
5ppp8XrspJQqgGsZkOCCOh,,,,,305967,43,0.547,0.574,0.986,0.172,0.106,-4.705,0.227,90.054,4,1
5tvbBnrlNvysgVyepyPr0M,,,,,158270,30,0.787,0.505,0.862,0.0,0.339,-4.447,0.207,116.071,4,1
7qNrSxc8OtSVxQlCKpmIgY,,,,,222628,36,0.653,0.62,0.492,0.0,0.078,-6.488,0.0316,123.87,4,1
0yowIoL3V6jyWu1apEeQ7W,,,,,255164,34,0.888,0.269,0.684,0.00212,0.0652,-8.395,0.0575,120.025,4,1
1gBrytsqd5PzMnyVHajmGm,,,,,218869,27,0.738,0.302,0.884,1.09e-06,0.115,-6.68,0.0903,103.9,4,1
1jaPWaMCgXLdUEEiEaKy6I,,,,,234501,41,0.948,0.439,0.445,0.0001,0.136,-9.643,0.0587,119.999,4,1
5haAVKCKAfb7IYLplcao0h,,,,,319164,60,0.714,0.845,0.464,0.00428,0.0833,-11.545,0.0483,129.935,4,1
7t8gUSPNVJm0bRMx4BKApC,,,,,272666,41,0.796,0.374,0.542,0.000676,0.0837,-9.245,0.04,99.968,4,1
7t687wOi10mr9Ag5kupt7N,,,,,279694,37,0.559,0.944,0.448,0.0,0.245,-8.374,0.046,108.72,1,1
0VjIjW4GlUZAMYd2vXMi3b,,,,,200040,92,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,1
4hwXlCzu061Gb1OzBwDX6V,,,,,331899,32,0.458,0.749,0.517,0.0,0.0746,-5.423,0.0339,82.426,4,1
5CRgGBirsQngSculKiYrwt,,,,,734653,28,0.41,0.79,0.485,0.0,0.0937,-6.296,0.0341,158.821,3,1
5MhuCLLmQRLEBWxoLRfhXs,,,,,57260,29,0.677,0.736,0.356,0.0,0.335,-7.818,0.14,81.318,4,1
00IKP0aYIXpiogYoQT0iml,,,,,55973,53,0.702,0.828,0.428,0.0,0.139,-8.163,0.112,108.742,3,1
0TbHssG0LKwaDaVKOsDpTC,,,,,100466,17,0.751,0.884,0.294,0.0,0.325,-7.354,0.128,79.145,4,1
0bL8XSrblxrXynOTeTSMGg,,,,,97645,11,0.718,0.742,0.23,0.0,0.368,-10.939,0.203,127.797,3,1
0syWP6hExPrVVfq8yVL0oa,,,,,1755311,43,0.54,0.815,0.438,0.0,0.388,-8.409,0.0765,89.848,1,1
0ytHss41eZEzstgHlPy3F0,,,,,67631,31,0.787,0.851,0.298,0.0,0.296,-7.856,0.0928,78.229,5,1
0zwvZ62Iuf6Yg8hbYgtSmD,,,,,77546,50,0.609,0.856,0.555,0.0,0.0919,-6.727,0.049,146.786,5,1
1wWYVrFLjnmmkcpximq01h,,,,,355429,12,0.622,0.863,0.534,0.0,0.0553,-5.65,0.0338,129.212,5,1
351ik6YGuYpFvG8Mg70OAi,,,,,141906,43,0.571,0.896,0.404,0.0,0.151,-8.333,0.0816,94.394,4,1
38aQzYuodMzWi0GV9u6KXV,,,,,75747,15,0.437,0.8,0.581,0.0,0.143,-6.998,0.0647,73.77,1,1
3EI92g2loyQy5InrkO5pLF,,,,,67426,51,0.465,0.866,0.397,0.0,0.183,-8.645,0.0513,90.469,1,1
3PfLdCBvI4ZUNgxndFOvl5,,,,,62386,17,0.609,0.844,0.234,0.0,0.378,-13.09,0.185,104.533,4,1
3Te9Xd6Xe9VlNYShcOthTV,,,,,324265,35,0.595,0.735,0.657,0.0,0.387,-5.418,0.0298,102.321,4,1
3Z9KVOM2GEv6i5fmb47Lbz,,,,,265500,29,0.548,0.792,0.673,0.0,0.148,-6.505,0.0424,90.469,4,1
3n0944L23I5MwduK8tzZ1C,,,,,219428,65,0.698,0.463,0.935,0.000107,0.11,-5.911,0.0709,104.992,4,1
3nzFWRvIyOnehKrRO6zto0,,,,,80270,41,0.509,0.833,0.351,0.0,0.164,-8.777,0.0723,173.767,4,1
4CeiRWgNaTt99xwRqvIONz,,,,,184711,10,0.566,0.695,0.611,5.58e-06,0.26,-5.126,0.0333,84.039,4,1
4cAoqwYQyYibgYWEdmxBnc,,,,,80880,40,0.729,0.68,0.399,0.0,0.165,-9.759,0.0466,124.275,4,1
56b4SXw2KGclrY0yzRpvMF,,,,,166145,61,0.51,0.0297,0.784,0.0336,0.387,-6.683,0.126,119.828,4,1
